PLAYER,TEAM_BBREF,MP,BPM,SEASON
Allen Iverson,DEN,3424.0,2.7,2007-08
Joe Johnson,ATL,3343.0,1.2,2007-08
Andre Iguodala,PHI,3242.0,4.0,2007-08
Richard Jefferson,NJN,3200.0,0.3,2007-08
Baron Davis,GSW,3196.0,3.6,2007-08
Kobe Bryant,LAL,3192.0,5.8,2007-08
Jamal Crawford,NYK,3190.0,0.3,2007-08
Jason Richardson,CHA,3149.0,3.0,2007-08
Dwight Howard,ORL,3088.0,2.8,2007-08
Rashard Lewis,ORL,3076.0,3.1,2007-08
Monta Ellis,GSW,3071.0,1.6,2007-08
Antawn Jamison,WAS,3061.0,1.7,2007-08
Deron Williams,UTA,3059.0,3.8,2007-08
LeBron James,CLE,3027.0,10.9,2007-08
Hedo Türkoğlu,ORL,3026.0,2.7,2007-08
Andre Miller,PHI,3016.0,1.8,2007-08
Chris Paul,NOH,3006.0,10.4,2007-08
Rudy Gay,MEM,3000.0,0.8,2007-08
Raymond Felton,CHA,2972.0,-2.1,2007-08
Ricky Davis,MIA,2963.0,-2.0,2007-08
Vince Carter,NJN,2959.0,2.4,2007-08
Mike Dunleavy,IND,2953.0,1.7,2007-08
Lamar Odom,LAL,2921.0,2.3,2007-08
Al Jefferson,MIN,2919.0,1.6,2007-08
Shane Battier,HOU,2907.0,2.0,2007-08
Jason Kidd,2TM,2906.0,3.0,2007-08
Jason Kidd,NJN,1895.0,2.2,2007-08
Jason Kidd,DAL,1011.0,4.4,2007-08
Danny Granger,IND,2876.0,1.4,2007-08
Paul Pierce,BOS,2874.0,4.8,2007-08
Josh Smith,ATL,2873.0,3.0,2007-08
David West,NOH,2870.0,1.5,2007-08
Stephen Jackson,GSW,2855.0,-0.2,2007-08
Carlos Boozer,UTA,2827.0,2.8,2007-08
Carmelo Anthony,DEN,2806.0,1.6,2007-08
Brandon Roy,POR,2792.0,3.3,2007-08
Tyson Chandler,NOH,2783.0,0.4,2007-08
Steve Nash,PHO,2780.0,3.9,2007-08
Dirk Nowitzki,DAL,2769.0,6.6,2007-08
Kevin Durant,SEA,2768.0,-0.1,2007-08
Marvin Williams,ATL,2765.0,-1.4,2007-08
Marcus Camby,DEN,2758.0,3.4,2007-08
Josh Howard,DAL,2757.0,1.2,2007-08
Samuel Dalembert,PHI,2724.0,-1.0,2007-08
Andrew Bogut,MIL,2720.0,0.0,2007-08
Emeka Okafor,CHA,2718.0,-1.1,2007-08
Peja Stojaković,NOH,2711.0,1.7,2007-08
Cuttino Mobley,LAC,2702.0,-2.3,2007-08
Michael Redd,MIL,2702.0,1.5,2007-08
Tayshaun Prince,DET,2694.0,1.6,2007-08
Amar'e Stoudemire,PHO,2677.0,4.8,2007-08
Tim Duncan,SAS,2651.0,5.2,2007-08
LaMarcus Aldridge,POR,2649.0,0.2,2007-08
Raja Bell,PHO,2646.0,-0.8,2007-08
Anthony Parker,TOR,2634.0,0.9,2007-08
Ray Allen,BOS,2624.0,3.0,2007-08
Jason Terry,DAL,2579.0,3.1,2007-08
DeShawn Stevenson,WAS,2564.0,-0.2,2007-08
Al Horford,ATL,2540.0,-1.6,2007-08
Rafer Alston,HOU,2526.0,0.5,2007-08
Chauncey Billups,DET,2522.0,7.7,2007-08
John Salmons,SAC,2517.0,-0.6,2007-08
Brad Miller,SAC,2513.0,1.7,2007-08
Corey Maggette,LAC,2502.0,1.9,2007-08
José Calderón,TOR,2484.0,4.5,2007-08
Mike Miller,MEM,2474.0,1.1,2007-08
Bruce Bowen,SAS,2448.0,-1.4,2007-08
Tracy McGrady,HOU,2440.0,2.9,2007-08
Ryan Gomes,MIN,2434.0,-0.1,2007-08
Chris Bosh,TOR,2425.0,4.4,2007-08
Steve Blake,POR,2424.0,-0.5,2007-08
Richard Hamilton,DET,2424.0,2.3,2007-08
Leandro Barbosa,PHO,2421.0,0.2,2007-08
Mo Williams,MIL,2410.0,0.3,2007-08
Mehmet Okur,UTA,2390.0,0.8,2007-08
Mikki Moore,SAC,2385.0,-2.4,2007-08
Kirk Hinrich,CHI,2380.0,-0.8,2007-08
Gerald Wallace,CHA,2376.0,2.1,2007-08
David Lee,NYK,2356.0,0.4,2007-08
Pau Gasol,2TM,2351.0,3.4,2007-08
Pau Gasol,MEM,1433.0,2.1,2007-08
Pau Gasol,LAL,918.0,5.5,2007-08
Rasheed Wallace,DET,2346.0,4.1,2007-08
Kevin Garnett,BOS,2328.0,8.2,2007-08
Shawn Marion,2TM,2315.0,3.3,2007-08
Shawn Marion,PHO,1713.0,4.5,2007-08
Shawn Marion,MIA,602.0,-0.4,2007-08
Caron Butler,WAS,2314.0,4.1,2007-08
Tony Parker,SAS,2312.0,2.4,2007-08
Boris Diaw,PHO,2308.0,-0.8,2007-08
Rajon Rondo,BOS,2306.0,2.1,2007-08
Manu Ginóbili,SAS,2299.0,8.3,2007-08
Ben Gordon,CHI,2291.0,0.9,2007-08
Antonio McDyess,DET,2285.0,-0.5,2007-08
Josh Childress,ATL,2274.0,2.0,2007-08
Earl Watson,SEA,2269.0,-0.9,2007-08
Jeff Green,SEA,2253.0,-4.1,2007-08
