SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42012,1610612759,SAS,San Antonio Spurs,0041200407,2013-06-20,SAS @ MIA,L,239,88,31,82,0.378,6,19,0.316,20,22,0.909,12,31,43,13,12,3,14,19,-7.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200407,2013-06-20,MIA vs. SAS,W,241,95,36,82,0.439,12,32,0.375,11,16,0.688,11,32,43,14,8,4,16,19,7.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200406,2013-06-18,SAS @ MIA,L,264,100,37,85,0.435,5,18,0.278,21,28,0.75,12,33,45,13,8,2,13,21,-3.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200406,2013-06-18,MIA vs. SAS,W,267,103,38,81,0.469,11,19,0.579,16,21,0.762,12,30,42,23,10,6,15,26,3.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200405,2013-06-16,MIA @ SAS,L,241,104,37,86,0.43,11,23,0.478,19,23,0.826,12,22,34,25,8,3,13,24,-10.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200405,2013-06-16,SAS vs. MIA,W,240,114,42,70,0.6,9,22,0.409,21,26,0.808,5,31,36,21,5,8,18,21,10.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200404,2013-06-13,SAS vs. MIA,L,239,93,31,70,0.443,8,16,0.5,23,31,0.742,5,31,36,21,5,4,18,18,-16.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200404,2013-06-13,MIA @ SAS,W,239,109,45,85,0.529,4,12,0.333,15,17,0.882,7,34,41,23,13,7,9,26,16.0,2012-13
42012,1610612748,MIA,Miami Heat,0041200403,2013-06-11,MIA @ SAS,L,240,77,31,76,0.408,8,18,0.444,7,10,0.7,9,27,36,21,9,8,16,21,-36.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200403,2013-06-11,SAS vs. MIA,W,240,113,43,88,0.489,16,32,0.5,11,19,0.579,19,33,52,29,10,4,12,13,36.0,2012-13
